started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2019-08-01 00:02:06.500000+00:00,2019-08-01 00:09:15.559000+00:00,429,259,St Andrew Square,North East corner,55.95490573,-3.192443757,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.96092975,-3.181005315
2019-08-01 00:02:17.863000+00:00,2019-08-01 00:11:00.004000+00:00,522,259,St Andrew Square,North East corner,55.95490573,-3.192443757,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503981,-3.176686415
2019-08-01 00:11:04.151000+00:00,2019-08-01 00:22:01.942000+00:00,657,260,Lauriston Place,near Chalmers Street,55.94477165,-3.197265856,1025,Dundee Terrace,,55.9397099,-3.220588934
2019-08-01 00:12:41.413000+00:00,2019-08-01 00:31:25.581000+00:00,1124,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172,346,Morningside Road,Corner of Morningside Road & Morningside Park by M & S car park,55.92798551,-3.209738737
2019-08-01 00:23:21.799000+00:00,2019-08-01 00:35:13.314000+00:00,711,1017,Crichton Street,East end of street,55.94475574,-3.186916974,344,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.9363975,-3.194252203
2019-08-01 00:25:38.344000+00:00,2019-08-01 00:32:33.280000+00:00,414,1018,Hunter Square,Next to Tron Kirk at top of Blair Street,55.94969158,-3.187812819,262,Canonmills,near Tesco's,55.96280409,-3.196283585
2019-08-01 00:36:06.332000+00:00,2019-08-01 00:48:23.994000+00:00,737,1018,Hunter Square,Next to Tron Kirk at top of Blair Street,55.94969158,-3.187812819,1026,Constitution Street,Next to Burns Statue,55.97544143,-3.166806411
2019-08-01 00:50:21.114000+00:00,2019-08-01 01:48:36.464000+00:00,3495,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856559,-3.208070182
2019-08-01 00:50:26.100000+00:00,2019-08-01 01:49:25.238000+00:00,3539,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856559,-3.208070182
2019-08-01 00:50:37.741000+00:00,2019-08-01 01:49:04.055000+00:00,3506,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856559,-3.208070182
2019-08-01 00:51:13.845000+00:00,2019-08-01 01:49:28.075000+00:00,3494,247,Charlotte Square,North Corner of Charlotte Square,55.95233546,-3.207101172,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856559,-3.208070182
2019-08-01 00:57:54.902000+00:00,2019-08-01 01:17:05.908000+00:00,1151,870,Hillside Crescent,East corner of Hillside Crescent & London Road,55.9577928,-3.175798619,257,Portobello,Edinburgh Leisure Tumbles Centre,55.95700431,-3.116888119
